,Carrier,NumFlights,AvgProbDelayed
0,American Airlines Inc.,47028,0.34025155041940697
1,Alaksa Airlines Inc.,12508,0.3760495406719916
2,JetBlue Airways,15573,0.29368246582545865
3,Delta Air Lines Inc.,48633,0.28759698730014716
4,Frontier Airlines Inc.,6140,0.30345419845773
5,Allegiant Air,4904,0.3261844816043236
6,Hawaiian Airlines Inc.,4320,0.39163722673630874
7,Spirit Air Lines,8950,0.3103599905022334
8,United Air Lines Inc.,31590,0.31579583699981917
9,Virgin America,882,0.32439221810236796
10,Southwest Airlines Co.,69472,0.3424059334267263
